1
3,500,life.png
158.0,325.0,6,290,-180,ball.png
125,550,100,slide.png
30,30,40,20,0
80,30,40,20,0
130,30,40,20,0
180,30,40,20,0
230,30,40,20,0
280,30,40,20,0
330,30,40,20,0
380,30,40,20,0
30,80,40,20,0
80,80,40,20,0
130,80,40,20,0
180,80,40,20,0
230,80,40,20,0
280,80,40,20,0
330,80,40,20,0
380,80,40,20,0
430,80,40,20,0
480,80,40,20,0
30,130,40,20,1
80,130,40,20,1
130,130,40,20,1
180,130,40,20,1
230,130,40,20,1
280,130,40,20,1
330,130,40,20,1
380,130,40,20,1
430,130,40,20,1
480,130,40,20,1
30,180,40,20,1
80,180,40,20,1
130,180,40,20,1
180,180,40,20,1
280,180,40,20,1
330,180,40,20,1
430,180,40,20,1
